id_contrato,estado_contrato,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,tipo_de_contrato,modalidad_de_contratacion,duraci_n_del_contrato,dias_adicionados,valor_del_contrato,valor_pagado,valor_pendiente_de_pago,es_pyme,es_grupo,g_nero_representante_legal,duracion_dias,fecha_analisis,anio,valor_contrato_cero,es_directa
CO1.PCCNTR.307131,Cerrado,2018-01-28,2018-01-18,2018-12-31,Prestación de servicios,Contratación directa,No definido,0,68757333.0,66999333.0,1758000.0,No,No,No definido,347.0,2018-01-28,2018,False,1
CO1.PCCNTR.4849630,Cerrado,2023-04-11,2023-04-11,2023-08-09,Prestación de servicios,Contratación directa,4 Mes(es),0,10195712.0,10195712.0,0.0,No,No,Mujer,120.0,2023-04-11,2023,False,1
CO1.PCCNTR.5952790,Cerrado,2024-02-19,2024-02-21,2024-10-20,Prestación de servicios,Contratación directa,9 Mes(es),0,56700000.0,56490000.0,210000.0,No,No,No definido,242.0,2024-02-19,2024,False,1
CO1.PCCNTR.9045405,En ejecución,2026-01-24,2026-01-27,2026-09-30,Prestación de servicios,Contratación directa,251 Dia(s),0,38228400.0,23361800.0,14866600.0,No,No,Hombre,246.0,2026-01-24,2026,False,1
CO1.PCCNTR.2732719,Cerrado,2021-08-18,2021-08-18,2022-12-13,Prestación de servicios,Contratación directa,331 Dia(s),0,117038423.0,116111909.0,926513.0,No,No,No definido,482.0,2021-08-18,2021,False,1
CO1.PCCNTR.706328,Cerrado,2019-01-16,2018-12-27,2019-04-30,Prestación de servicios,Contratación directa,Dia(s),0,43319450.0,42296156.0,1023293.0,No,No,No definido,124.0,2019-01-16,2019,False,1
CO1.PCCNTR.5117303,Cerrado,2023-06-30,2023-06-30,2023-12-31,Prestación de servicios,Contratación directa,192 Dia(s),0,55745572.0,54869987.0,875585.0,No,No,No definido,184.0,2023-06-30,2023,False,1
CO1.PCCNTR.148101,Aprobado,2017-06-22,2017-05-10,2017-12-31,Prestación de servicios,Mínima cuantía,Dia(s),0,25000000.0,25000000.0,0.0,Si,No,Hombre,235.0,2017-06-22,2017,False,0
CO1.PCCNTR.1790728,Cerrado,2020-09-11,2020-09-11,2020-12-31,Prestación de servicios,Contratación directa,132 Dia(s),0,33509178.0,31080977.0,2428201.0,No,No,Hombre,111.0,2020-09-11,2020,False,1
CO1.PCCNTR.7301805,Cerrado,2025-01-23,2025-01-31,2025-10-30,Prestación de servicios,Contratación directa,9 Mes(es),0,72864000.0,72864000.0,0.0,No,No,No definido,272.0,2025-01-23,2025,False,1
