"id_contrato","estado_contrato","fecha_de_firma","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato","tipo_de_contrato","modalidad_de_contratacion","duraci_n_del_contrato","dias_adicionados","valor_del_contrato","valor_pagado","valor_pendiente_de_pago","es_pyme","es_grupo","g_nero_representante_legal"
"CO1.PCCNTR.307131","Cerrado","2018-01-28T00:00:00.000","2018-01-18T00:00:00.000","2018-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","6.8757333E7","6.6999333E7","1758000.0","No","No","No Definido"
"CO1.PCCNTR.4849630","Cerrado","2023-04-11T00:00:00.000","2023-04-11T00:00:00.000","2023-08-09T00:00:00.000","Prestación de servicios","Contratación directa","4 Mes(es)","0","1.0195712E7","1.0195712E7","0.0","No","No","Mujer"
"CO1.PCCNTR.5952790","Cerrado","2024-02-19T00:00:00.000","2024-02-21T00:00:00.000","2024-10-20T00:00:00.000","Prestación de servicios","Contratación directa","9 Mes(es)","0","5.67E7","5.649E7","210000.0","No","No","No Definido"
"CO1.PCCNTR.9045405","En ejecución","2026-01-24T00:00:00.000","2026-01-27T00:00:00.000","2026-09-30T00:00:00.000","Prestación de servicios","Contratación directa","251 Dia(s)","0","3.82284E7","2.33618E7","1.48666E7","No","No","Hombre"
"CO1.PCCNTR.2732719","Cerrado","2021-08-18T00:00:00.000","2021-08-18T00:00:00.000","2022-12-13T00:00:00.000","Prestación de servicios","Contratación directa","331 Dia(s)","0","1.17038423E8","1.16111909E8","926513.0","No","No","No Definido"
"CO1.PCCNTR.706328","Cerrado","2019-01-16T00:00:00.000","2018-12-27T00:00:00.000","2019-04-30T00:00:00.000","Prestación de servicios","Contratación directa","Dia(s)","0","4.331945E7","4.2296156E7","1023293.0","No","No","No Definido"
"CO1.PCCNTR.5117303","Cerrado","2023-06-30T00:00:00.000","2023-06-30T00:00:00.000","2023-12-31T00:00:00.000","Prestación de servicios","Contratación directa","192 Dia(s)","0","5.5745572E7","5.4869987E7","875585.0","No","No","No Definido"
"CO1.PCCNTR.148101","Aprobado","2017-06-22T00:00:00.000","2017-05-10T00:00:00.000","2017-12-31T00:00:00.000","Prestación de servicios","Mínima cuantía","Dia(s)","0","2.5E7","2.5E7","0.0","Si","No","Hombre"
"CO1.PCCNTR.1790728","Cerrado","2020-09-11T00:00:00.000","2020-09-11T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","132 Dia(s)","0","3.3509178E7","3.1080977E7","2428201.0","No","No","Hombre"
"CO1.PCCNTR.7301805","Cerrado","2025-01-23T00:00:00.000","2025-01-31T00:00:00.000","2025-10-30T00:00:00.000","Prestación de servicios","Contratación directa","9 Mes(es)","0","7.2864E7","7.2864E7","0.0","No","No","No Definido"
"CO1.PCCNTR.1834444","Cerrado","2020-09-18T00:00:00.000","2020-09-18T00:00:00.000","2021-09-13T00:00:00.000","Prestación de servicios","Mínima cuantía","12 Mes(es)","0","4.6732932E7","4.6732931E7","1.0","Si","No","Hombre"
"CO1.PCCNTR.3487272","Cerrado","2022-02-02T00:00:00.000","2022-02-02T00:00:00.000","2022-12-31T00:00:00.000","Prestación de servicios","Contratación directa","303 Dia(s)","0","5.1372718E7","5.0318102E7","1054616.0","No","No","Hombre"
"CO1.PCCNTR.814904","Cerrado","2019-03-28T00:00:00.000","2019-02-05T00:00:00.000","2020-04-30T00:00:00.000","Prestación de servicios","Contratación directa","Dia(s)","0","2.18468865E8","2.15555947E8","2912918.0","No","No","No Definido"
"CO1.PCCNTR.9081549","En ejecución","2026-01-23T00:00:00.000","2026-01-27T00:00:00.000","2026-12-31T00:00:00.000","Prestación de servicios","Contratación directa","339 Dia(s)","0","5.18814E7","2.33618E7","2.85196E7","No","No","Mujer"
"CO1.PCCNTR.4910759","Modificado","2023-05-08T00:00:00.000","2023-05-09T00:00:00.000","2024-09-30T00:00:00.000","Prestación de servicios","Mínima cuantía","502 Dia(s)","62","6.4992584E7","6.2007096E7","2985487.0","Si","No","Mujer"
"CO1.PCCNTR.1392699","Cerrado","2020-03-03T00:00:00.000","2020-02-17T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","3.384271E7","3.320617E7","636540.0","No","No","No Definido"
"CO1.PCCNTR.5191158","Cerrado","2023-07-14T00:00:00.000","2023-07-14T00:00:00.000","2023-12-31T00:00:00.000","Prestación de servicios","Contratación directa","179 Dia(s)","0","3.5982192E7","3.384271E7","2139482.0","No","No","No Definido"
"CO1.PCCNTR.5906124","Cerrado","2024-02-14T00:00:00.000","2024-02-19T00:00:00.000","2024-12-31T00:00:00.000","Prestación de servicios","Contratación directa","312 Dia(s)","0","6.2215525E7","6.2016116E7","199409.0","No","No","Mujer"
"CO1.PCCNTR.1029316","Cerrado","2019-08-26T00:00:00.000","2019-08-06T00:00:00.000","2022-09-30T00:00:00.000","Prestación de servicios","Selección abreviada subasta inversa","Dia(s)","0","2.47E8","1.23829164E8","1.23170835E8","Si","No","Hombre"
"CO1.PCCNTR.7662670","Cerrado","2025-03-20T00:00:00.000","2025-03-26T00:00:00.000","2025-11-25T00:00:00.000","Prestación de servicios","Contratación directa","8 Mes(es)","0","1.18021696E8","1.18021696E8","0.0","No","No","Hombre"
"CO1.PCCNTR.880701","Cerrado","2019-05-10T00:00:00.000","2019-03-06T00:00:00.000","2019-10-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","8.7478666E7","8.570281E7","1775856.0","No","No","Hombre"
"CO1.PCCNTR.2345047","Cerrado","2021-03-17T00:00:00.000","2021-03-18T00:00:00.000","2021-12-15T00:00:00.000","Prestación de servicios","Contratación directa","264 Dia(s)","0","8.388219E7","8.2091112E7","1791078.0","No","No","Mujer"
"CO1.PCCNTR.3420847","Cerrado","2022-02-02T00:00:00.000","2022-02-02T00:00:00.000","2023-05-31T00:00:00.000","Prestación de servicios","Contratación directa","341 Dia(s)","0","1.47E8","1.083E8","3.87E7","No","No","No Definido"
"CO1.PCCNTR.8582552","Modificado","2025-11-18T00:00:00.000","2025-11-24T00:00:00.000","2026-10-31T00:00:00.000","Prestación de servicios","Contratación directa","341 Dia(s)","91","1.0912E8","5.7053333E7","5.2066667E7","No","No","No Definido"
"CO1.PCCNTR.3072904","Cerrado","2022-01-06T00:00:00.000","2022-01-06T00:00:00.000","2022-11-30T00:00:00.000","Prestación de servicios","Selección abreviada subasta inversa","8 Mes(es)","0","9.07653E8","9.07023E8","630000.0","Si","No","Mujer"
"CO1.PCCNTR.1650795","Modificado","2020-09-24T00:00:00.000","2020-09-25T00:00:00.000","2030-07-02T00:00:00.000","Otro","Contratación directa","10 Año(s)","1840","0.0","0.0","0.0","No","No","No Definido"
"CO1.PCCNTR.814931","Cerrado","2019-03-01T00:00:00.000","2019-02-21T00:00:00.000","2020-02-21T00:00:00.000","Suministros","Contratación Directa (con ofertas)","Dia(s)","0","614800.0","614800.0","0.0","No","No","Hombre"
"CO1.PCCNTR.4743074","Cerrado","2023-03-09T00:00:00.000","2023-03-09T00:00:00.000","2023-09-07T00:00:00.000","Prestación de servicios","Contratación directa","4 Mes(es)","0","1.854E7","1.854E7","0.0","No","No","Hombre"
"CO1.PCCNTR.300222","Cerrado","2018-01-28T00:00:00.000","2018-01-18T00:00:00.000","2018-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","6.6686275E7","6.6108071E7","578204.0","No","No","No Definido"
"CO1.PCCNTR.1594574","Cerrado","2020-06-16T00:00:00.000","2020-06-16T00:00:00.000","2021-04-20T00:00:00.000","Prestación de servicios","Contratación directa","219 Dia(s)","0","8.34609E7","8.1455834E7","2005066.0","No","No","No Definido"
"CO1.PCCNTR.1518722","Cerrado","2020-05-11T00:00:00.000","2020-04-21T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","Dia(s)","0","6.46634E7","6.2658333E7","2005067.0","No","No","No Definido"
"CO1.PCCNTR.682320","Cerrado","2018-12-26T00:00:00.000","2018-12-06T00:00:00.000","2019-11-30T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","9.2262805E7","9.149735E7","765455.0","No","No","No Definido"
"CO1.PCCNTR.3859005","Cerrado","2022-08-22T00:00:00.000","2022-08-22T00:00:00.000","2024-10-31T00:00:00.000","Prestación de servicios","Contratación directa","27 Mes(es)","0","1.06E8","0.0","1.06E8","No","No","No Definido"
"CO1.PCCNTR.2427964","Cerrado","2021-05-03T00:00:00.000","2021-05-03T00:00:00.000","2021-12-15T00:00:00.000","Prestación de servicios","Contratación directa","232 Dia(s)","0","4.565E7","4.4733333E7","916667.0","No","No","No Definido"
"CO1.PCCNTR.3087674","Cerrado","2021-12-20T00:00:00.000","2021-12-20T00:00:00.000","2022-11-30T00:00:00.000","Prestación de servicios","Contratación directa","269 Dia(s)","0","6.4922728E7","6.4573587E7","349141.0","No","No","Mujer"
"CO1.PCCNTR.2348335","Cerrado","2021-03-26T00:00:00.000","2021-03-26T00:00:00.000","2021-12-15T00:00:00.000","Prestación de servicios","Contratación directa","234 Dia(s)","0","1.44729753E8","1.41639438E8","3090315.0","No","No","No Definido"
"CO1.PCCNTR.6435215","Cerrado","2024-06-19T00:00:00.000","2024-06-26T00:00:00.000","2024-12-31T00:00:00.000","Prestación de servicios","Contratación directa","191 Dia(s)","0","2.5428467E7","2.4629667E7","798800.0","No","No","Hombre"
